Start,End,Text
54,55.695,"PRINCE CHARMING Onward, Chauncey!"
55.835,58.429,"PRINCE CHARMING To the highest room of the tallest tower..."
58.571,63.668,"PRINCE CHARMING ...where my princess awaits rescue from her handsome Prince Charming!"
75.021,78.787,"GINGERBREAD MAN This is worse than ""Love Letters"". I hate dinner theater!"
78.925,80.688,"PINOCCHIO Me, too."
82.028,84.019,"PRINCE CHARMING Whoa there, Chauncey!"
85.431,88.889,"ACTRESS Hark! The brave Prince Charming approacheth."
89.035,93.404,"PRINCE CHARMING Fear not, fair maiden. I shall slay the monster that guards you..."
93.54,96.475,"PRINCE CHARMING ...then take my place as rightful king."
96.609,98.201,"OLD LADY What did she say?"
101.981,103.38,"AUDIENCE It's Shrek!"
103.65,105.311,"AUDIENCE Whoo, Shrek, yeah!"
107.554,109.647,"PRINCE CHARMING Prepare, foul beast..."
109.789,114.453,"PRINCE CHARMING ...to enter into a world of pain with which you are not familiar!"
114.594,117.154,"WAITER Happy birthday to thee Happy birthday to thee"
117.297,118.559,"PRINCE CHARMING Do you mind?"
118.898,122.061,"GINGERBREAD MAN Do you mind? Boring!"
126.573,128.905,"PRINCE CHARMING Prepare, foul beast..."
137.917,140.613,"PRINCE CHARMING Someday you'll be sorry."
140.753,142.914,"AUDIENCE We already are!"
168.047,169.344,"PRINCE CHARMING Mommy..."
173.286,176.778,"PRINCE CHARMING You're right. I can't let this happen."
177.624,178.955,"PRINCE CHARMING I can't!"
180.126,183.892,"PRINCE CHARMING I am the rightful King of Far Far Away."
184.03,186.123,"PRINCE CHARMING And I promise you this, Mother..."
186.466,189.196,"PRINCE CHARMING ...I will restore dignity to my throne."
193.806,194.898,"PRINCE CHARMING And this time,"
195.041,199.205,"PRINCE CHARMING no one will stand in my way."
216.162,217.823,"SHREK Good morning."
218.831,220.492,"FIONA Good morning."
222.168,223.192,"FIONA Morning breath."
223.336,226.499,"SHREK I know. Isn't it wonderful?"
227.173,229.004,"DONKEY Good morning, good morning"
